Participants,Armour,Mass,Speed,lateral_kjcf_peak_noOut,medial_kjcf_first_peak_noOut,medial_kjcf_second_peak_noOut,total_kjcf_first_peak_noOut,total_kjcf_second_peak_noOut,vest_fit_f,vest_comfort_f,offset_f,belt_fit_f,belt_comfort_f,shoulders_comf_f,hips_comf_f,knees_comf_f
7,cARM2,15,Fast,1.325891225,2.684227419,1.116552825,3.128275328,2.58764826,1,1,1,1,1,0,0,0
8,cARM2,15,Fast,3.261849728,4.639280965,3.005807181,5.843872802,5.905072366,1,1,1,1,1,1,0,0
9,cARM2,15,Fast,2.768994924,2.661424149,2.613586109,4.17553558,3.993539423,1,1,1,1,1,0,1,1
10,cARM2,15,Fast,2.791001424,3.619024912,2.173991751,3.794613001,5.091152112,1,1,1,1,1,1,1,0
11,cARM2,15,Fast,2.935686369,3.802179315,1.023256775,4.074342789,3.931974836,1,1,1,1,1,1,1,0
12,cARM2,15,Fast,3.32214964,4.649095088,1.583625621,5.374024946,4.608662423,1,0,1,0,1,1,1,0
13,cARM2,15,Fast,2.136789902,3.496688141,1.039730722,3.931629542,3.329643075,1,1,1,1,1,0,1,0
14,cARM2,15,Fast,2.82763617,3.119597525,1.44672296,3.297124696,4.831581646,1,1,1,0,0,1,1,0
15,cARM2,15,Fast,1.833439772,5.127353684,3.144952714,6.92718852,4.15097448,1,1,1,1,1,1,1,1
16,cARM2,15,Fast,2.580134884,3.940816964,2.353756768,4.133388689,4.786397439,1,1,1,1,1,0,0,0
17,cARM2,15,Fast,4.012142663,3.899231021,2.93685902,5.955630837,4.585516488,1,1,1,1,0,0,0,0
18,cARM2,15,Fast,3.086267779,2.739225044,4.226230645,5.123803049,7.803532213,1,1,1,1,1,0,0,0
19,cARM2,15,Fast,2.69195924,3.400656547,1.940594794,3.827649048,4.602949673,1,0,0,0,0,1,1,0
20,cARM2,15,Fast,2.428380977,3.181685106,0.809610318,3.692251223,4.712745645,1,1,1,1,1,0,0,0
1,cARM2,30,Fast,2.503196122,3.866900501,1.78516566,3.532682405,7.954365837,1,1,1,0,0,1,1,0
2,cARM2,30,Fast,4.045697444,4.775500756,1.051082694,5.583367787,5.147123582,1,1,1,1,0,0,1,0
3,cARM2,30,Fast,4.179006808,5.322196256,1.399884577,6.265711189,8.016268776,1,1,1,1,1,1,1,1
4,cARM2,30,Fast,3.283461921,3.866900501,2.120219481,4.299541787,5.710036566,1,1,1,1,1,1,1,0
5,cARM2,30,Fast,3.68376767,3.257626976,1.443325319,3.550020654,5.090939679,1,1,0,1,1,1,1,0
6,cARM2,30,Fast,2.888973854,2.748876792,3.847341716,5.127519862,3.714707689,1,1,1,0,0,1,1,1
7,cARM2,30,Fast,1.986006795,3.134688849,0.7405693,4.08051023,2.765321118,1,1,1,0,0,1,1,0
8,cARM2,30,Fast,3.341992867,4.41026566,4.317095359,5.471521995,7.538400743,1,1,1,1,1,1,1,0
9,cARM2,30,Fast,3.270858891,3.384068267,1.530601102,4.353868022,4.098831127,0,0,1,0,0,1,1,1
10,cARM2,30,Fast,2.647723461,2.694693371,3.400046913,4.113284137,6.110219109,1,1,1,1,1,0,1,1
11,cARM2,30,Fast,2.314003999,4.150671292,1.723269513,5.521792429,3.751256409,1,1,1,1,1,0,1,0
12,cARM2,30,Fast,3.334342807,4.86396545,1.337870016,5.878779857,4.607927496,1,1,1,1,1,1,1,0
13,cARM2,30,Fast,3.233430234,3.259983322,0.959937117,3.687290725,4.257178431,1,1,1,1,1,0,1,1
14,cARM2,30,Fast,2.495978868,3.386179478,1.508109405,3.649895029,4.392751126,0,1,0,0,0,1,1,1
15,cARM2,30,Fast,2.165192596,4.690099709,2.567933307,5.127519862,4.99485714,1,1,1,0,0,1,1,0
16,cARM2,30,Fast,2.503196122,5.447688747,1.359999318,5.949305571,6.388035128,1,1,1,1,1,0,1,0
17,cARM2,30,Fast,4.830206917,2.353957332,1.388243983,5.416029748,6.212824397,1,1,1,1,0,1,1,0
18,cARM2,30,Fast,2.821572446,5.111660659,4.592256847,6.828552,7.371676054,0,0,0,0,0,0,1,0
19,cARM2,30,Fast,2.658324686,3.441609396,1.388243983,3.972857479,4.472856548,1,1,1,0,0,1,1,0
20,cARM2,30,Fast,2.503196122,2.961248626,1.035529036,2.791703416,4.96617504,1,1,1,1,1,0,0,0
1,cARM2,15,Moderate,4.830206917,2.013835782,1.448642213,3.686679156,3.508740927,1,1,1,0,0,1,1,0
2,cARM2,15,Moderate,2.721549554,4.553162409,1.247108967,5.906963996,3.865326127,1,1,1,1,1,0,1,0
3,cARM2,15,Moderate,4.140787085,4.0208396,2.517419002,4.190063054,7.14824165,1,1,1,1,1,1,1,0
4,cARM2,15,Moderate,1.485825077,3.35913335,1.950121523,3.814637201,3.404711237,1,1,1,1,1,1,1,0
5,cARM2,15,Moderate,2.502389282,3.583326169,1.729157489,4.284759415,4.124501083,0,1,0,0,0,1,1,1
6,cARM2,15,Moderate,4.053631265,3.559103182,2.363524189,3.954563847,5.862325442,1,1,1,1,1,0,0,0
7,cARM2,15,Moderate,1.25959685,2.221076077,1.599047216,2.586611508,2.789669133,1,1,1,1,1,0,0,0
8,cARM2,15,Moderate,3.868968964,4.508003627,2.978031751,5.808796878,6.829653913,1,1,1,1,1,1,0,0
9,cARM2,15,Moderate,2.952516614,2.371169797,1.843008729,4.221851071,3.197327502,1,1,1,1,1,0,1,1
10,cARM2,15,Moderate,2.940313906,3.308317475,2.463826011,3.466820033,5.485374563,1,1,1,1,1,1,1,0
11,cARM2,15,Moderate,3.072775107,3.680344791,1.465080993,4.140300091,4.47659193,1,1,1,1,1,1,1,0
12,cARM2,15,Moderate,2.967483255,3.315837074,1.812957938,4.213346438,4.325661602,1,0,1,0,1,1,1,0
13,cARM2,15,Moderate,2.158776942,3.383103168,0.62396898,3.450104957,3.388741541,1,1,1,1,1,0,1,0
14,cARM2,15,Moderate,2.185356374,2.442027729,1.779034911,2.884858528,3.831181474,1,1,1,0,0,1,1,0
15,cARM2,15,Moderate,1.272957919,4.366510849,3.956956905,5.459832913,3.969553301,1,1,1,1,1,1,1,1
16,cARM2,15,Moderate,3.585348129,3.485543214,2.757942941,4.740379711,7.986108593,1,1,1,1,1,0,0,0
17,cARM2,15,Moderate,4.070720967,2.691916013,3.225297121,5.644243011,3.508740927,1,1,1,1,0,0,0,0
18,cARM2,15,Moderate,4.108096905,2.194181179,4.376591695,5.042967131,8.197980191,1,1,1,1,1,0,0,0
19,cARM2,15,Moderate,2.336113575,2.687216935,1.80049288,3.195466713,3.594021589,1,0,0,0,0,1,1,0
20,cARM2,15,Moderate,2.09333818,2.176267064,2.975732413,2.616965458,4.547197505,1,1,1,1,1,1,1,1
1,cARM2,30,Moderate,2.503196122,3.561169966,1.669391245,4.359821466,6.110219109,1,1,1,0,0,1,1,0
2,cARM2,30,Moderate,4.019305644,4.532580081,1.516033553,5.413279447,5.478680446,1,1,1,1,0,0,1,0
3,cARM2,30,Moderate,3.933705375,3.462078856,3.855031412,6.41014146,5.977434965,1,1,1,1,1,1,1,1
4,cARM2,30,Moderate,2.923592754,3.561169966,2.48596426,5.350739284,2.204842711,1,1,1,1,1,1,1,0
5,cARM2,30,Moderate,3.365234847,2.779061957,1.406930044,3.142969102,4.515704561,1,1,0,1,1,1,1,0
6,cARM2,30,Moderate,3.01510136,3.280019306,1.30558921,5.709292202,2.512702986,1,1,1,0,0,1,1,1
